in1,in2,out1,out2
0,41,79,232
1,23,54,42
1,157,225,247
0,13,72,241
0,230,210,161
1,78,163,41
0,232,99,137
0,150,209,150
0,80,245,68
0,122,203,116
0,90,60,71
1,209,43,173
1,151,141,232
1,113,68,27
1,82,184,98
0,131,126,160
0,63,128,94
0,115,141,123
1,203,75,83
1,89,118,252
1,163,134,188
0,214,94,247
0,57,147,162
1,139,242,148
1,216,2,93
0,23,127,76
0,27,91,201
1,58,193,101
0,12,50,87
1,251,21,212
0,48,151,88
1,249,50,114
0,19,9,48
1,85,19,233
1,15,163,246
0,212,57,79
0,93,100,164
0,42,230,241
0,187,172,16
1,145,231,126
0,37,158,63
1,19,180,63
0,119,197,255
1,53,169,6
1,236,70,245
1,227,217,79
0,219,12,192
1,202,117,138
0,38,251,249
1,138,47,143
0,40,171,125
1,96,86,61
0,51,226,70
1,57,215,78
0,217,243,216
0,82,97,39
1,144,144,3
0,199,164,180
0,202,70,196
1,79,82,200
0,84,209,96
0,189,201,175
1,135,252,200
1,196,117,247
1,44,22,226
0,203,130,37
1,222,139,55
0,130,200,155
1,237,66,115
0,216,118,20
0,255,187,130
0,134,85,10
1,250,202,31
0,177,204,52
1,214,90,199
0,59,163,79
0,2,22,101
0,124,174,245
1,147,237,57
0,237,172,240
0,112,80,37
0,231,105,124
1,112,64,141
1,61,181,165
0,11,213,208
1,178,24,112
1,11,191,77
0,6,178,213
0,208,132,9
0,50,147,244
1,74,11,130
0,25,244,53
0,194,7,46
0,118,75,198
1,63,219,181
0,206,115,18
1,36,22,205
0,3,240,83
1,175,218,207
0,111,33,69
0,168,242,148
0,221,11,29
0,178,231,101
0,87,118,69
0,193,88,98
0,145,35,172
1,167,76,231
1,194,7,232
0,142,127,82
1,62,142,231
0,165,4,16
1,254,154,110
1,118,21,38
1,245,102,187
1,119,130,72
0,223,142,212
0,201,147,42
0,120,52,54
1,166,35,107
0,163,219,102
0,136,50,230
1,5,138,205
1,35,21,80
0,26,247,55
0,186,36,193
1,1,105,48
0,234,78,130
1,98,2,78
0,20,78,131
1,158,156,98
0,77,206,5
1,204,176,232
0,91,61,10
0,121,215,113
1,244,102,120
0,209,141,153
0,21,9,22
1,159,57,191
0,45,161,60
1,162,25,156
1,29,48,63
1,140,222,85
0,74,89,105
1,217,252,187
0,4,46,185
0,110,222,137
0,33,20,108
1,40,90,7
0,227,151,233
1,177,140,127
0,69,25,40
0,133,161,82
1,205,5,32
0,137,69,159
1,154,207,251
0,39,189,57
1,48,230,78
0,56,32,32
0,235,137,232
1,219,62,93
0,158,239,235
1,137,187,65
1,84,174,230
1,28,234,130
0,248,252,156
1,187,172,186
1,221,248,173
0,22,26,90
0,123,231,141
1,41,17,176
0,60,20,45
1,206,199,124
0,184,132,213
1,20,13,12
0,73,210,18
1,43,109,1
1,174,92,121
0,49,127,162
0,116,178,56
1,33,169,64
0,94,2,166
0,70,176,84
1,97,3,205
0,218,60,243
1,0,247,129
1,232,137,37
0,251,5,48
0,67,151,142
1,101,26,100
0,58,147,206
1,120,242,67
1,59,26,68
1,114,60,90
0,125,18,136
1,185,123,101
0,154,49,201
1,32,127,35
0,196,102,167
1,226,122,58
0,101,227,50
0,191,186,225
1,60,240,197
1,215,13,55
0,192,223,197
0,132,152,129
1,172,132,221
1,13,196,77
0,144,210,0
0,195,190,243
0,97,0,117
0,146,205,163
0,35,63,5
0,78,175,163
0,103,196,167
0,198,34,251
0,200,84,124
0,85,227,243
0,1,113,61
1,225,2,210
1,65,203,190
1,38,104,222
0,114,222,212
1,229,45,137
1,34,179,247
0,183,147,222
1,21,127,62
1,24,73,31
0,75,48,81
0,79,180,201
1,224,173,27
1,26,89,74
1,134,210,210
1,228,89,255
0,157,31,169
0,151,106,190
1,141,163,14
0,5,75,193
0,66,205,228
1,246,249,48
0,92,85,43
1,184,118,51
0,43,167,162
1,86,8,0
0,185,203,162
1,190,66,254
1,234,35,199
0,239,156,41
1,180,92,179
1,136,87,199
0,99,160,20
0,88,75,37
0,174,247,122
1,165,194,0
0,147,81,50
1,75,246,231
1,37,131,58
0,105,48,237
0,188,152,11
1,73,125,230
0,159,165,54
1,176,207,142
0,65,250,45
1,208,250,169
0,250,113,17
0,220,49,231
1,255,171,148
1,27,215,121
0,98,19,104
0,156,216,91
0,34,101,13
0,204,12,64
0,246,95,117
0,253,191,132
1,193,175,74
0,31,107,141
1,55,195,42
1,91,249,32
1,12,4,49
0,175,150,118
1,18,187,120
0,242,205,255
1,14,123,250
0,197,85,98
1,121,129,144
1,186,108,89
1,10,5,197
0,135,154,50
1,3,205,156
1,168,203,233
0,161,245,57
0,172,172,168
0,162,10,7
1,46,26,25
1,108,84,159
0,238,32,190
0,224,75,136
1,30,139,156
0,213,125,183
0,236,196,188
0,108,181,249
1,243,23,42
1,188,188,192
0,141,183,246
1,182,62,64
1,242,163,93
1,173,221,51
0,129,44,163
0,18,113,181
0,96,4,13
1,103,64,232
0,55,21,70
0,148,33,41
1,105,255,177
0,233,202,37
1,42,255,5
0,210,220,159
1,155,127,213
1,99,125,36
1,213,129,158
1,47,122,138
0,30,163,127
1,253,193,140
1,233,65,255
0,249,158,122
0,211,96,218
0,83,29,52
0,52,135,55
0,222,106,15
1,126,189,4
0,47,221,129
0,61,134,94
