in1,in2,out1,out2
0,224,179,141
0,78,105,205
1,103,168,231
1,230,152,173
1,54,155,162
0,71,172,70
1,193,128,128
0,62,244,23
1,55,55,104
1,108,109,95
0,31,81,109
1,252,84,233
0,178,184,28
1,25,8,37
1,250,41,99
0,7,136,35
1,6,209,116
1,7,192,180
0,183,250,19
0,121,73,212
0,239,116,175
1,205,86,107
0,33,138,133
1,72,109,246
0,159,174,198
0,167,198,70
1,22,123,144
0,37,242,27
0,17,251,121
0,117,13,130
0,128,154,167
1,164,251,118
1,154,53,63
0,136,160,170
1,158,103,196
0,193,145,180
1,151,211,61
0,6,165,144
0,212,175,36
1,80,194,193
0,59,160,73
1,212,203,142
0,171,211,75
0,174,193,180
0,194,241,198
1,33,213,10
1,97,4,105
0,253,115,72
1,196,58,64
0,142,7,235
1,1,14,6
0,166,242,244
0,108,99,173
1,235,177,66
0,47,236,5
1,143,12,126
0,227,127,167
0,246,72,155
0,99,22,177
0,220,52,250
1,96,78,74
0,218,119,83
1,194,164,243
0,68,181,91
1,59,2,13
0,144,175,195
0,214,254,58
0,96,254,88
1,31,103,146
1,129,112,5
0,107,234,159
1,167,234,190
1,119,41,229
1,42,157,250
1,208,239,47
1,118,244,65
0,243,123,247
1,240,6,51
1,32,79,107
1,73,61,222
0,23,80,113
0,125,99,251
0,196,190,234
1,179,47,30
1,10,78,246
0,75,96,18
1,169,208,84
1,91,63,40
1,5,55,205
1,27,200,22
1,106,117,4
0,57,135,207
0,73,15,200
1,138,243,41
1,137,115,201
0,79,141,205
1,126,196,150
1,188,33,86
0,161,13,206
0,10,80,11
0,52,68,109
0,114,173,110
1,181,154,94
1,101,214,87
0,46,238,81
0,21,252,205
1,200,82,140
1,40,8,85
1,144,24,45
0,240,243,226
0,115,159,121
0,182,209,51
0,122,252,55
1,49,182,151
0,113,88,67
1,216,146,180
1,155,158,211
0,70,212,24
0,3,19,82
0,98,224,26
1,48,140,162
0,245,97,222
1,75,72,178
0,202,43,152
0,123,14,240
1,213,196,174
0,50,119,253
0,104,168,58
1,209,180,136
1,168,226,28
1,92,54,62
0,95,143,95
0,188,1,210
0,41,3,37
1,15,241,213
1,84,232,90
0,164,71,144
0,222,213,33
1,66,110,52
0,134,71,73
0,140,78,94
1,57,21,84
0,105,253,208
0,228,114,117
0,66,166,154
0,230,1,251
1,46,65,92
0,120,219,209
1,99,126,201
1,52,37,183
0,22,244,175
1,163,66,188
0,209,24,232
1,217,76,188
0,234,172,67
0,249,73,201
1,102,107,28
0,195,119,27
1,113,10,171
1,9,27,182
1,136,88,152
1,30,125,220
1,207,52,80
1,109,2,12
0,51,32,147
1,51,6,32
0,204,18,107
1,218,88,113
0,221,220,247
1,82,98,66
1,44,57,61
